id,feature_name,feature_group,computation_logic,data_source,update_frequency,serving_store,models_using_feature,feature_description
17,return_rate_30d_web,returns,COUNT(return_id)/COUNT(order_id) OVER last 30 days BY product_id,fct_returns,Daily,S3,"fraud_model, ranking_model","Monthly return rate indicator. Useful for product quality monitoring, fraud detection, and return risk analysis. Captured from the web channel, representing customer interactions on the Amazon website."
18,inventory_stock_7d_web,inventory,SUM(stock_qty) OVER last 7 days BY product_id,fct_inventory,Hourly,Redis,"inventory_model, recommendation_model","Short-term weekly inventory stock metric. Useful for inventory replenishment, stock allocation, and demand planning. Captured from the web channel, representing customer interactions on the Amazon website."
19,inventory_stock_14d_web,inventory,SUM(stock_qty) OVER last 14 days BY product_id,fct_inventory,Hourly,Redis,"inventory_model, recommendation_model","Bi-weekly inventory stock measurement. Useful for inventory replenishment, stock allocation, and demand planning. Captured from the web channel, representing customer interactions on the Amazon website."
20,inventory_stock_30d_web,inventory,SUM(stock_qty) OVER last 30 days BY product_id,fct_inventory,Hourly,Redis,"inventory_model, recommendation_model","Monthly inventory stock indicator. Useful for inventory replenishment, stock allocation, and demand planning. Captured from the web channel, representing customer interactions on the Amazon website."
21,delivery_time_7d_web,logistics,AVG(delivery_days) OVER last 7 days BY region,fct_delivery,Daily,Redis,"logistics_model, demand_model","Short-term weekly delivery time metric. Useful for logistics optimization, SLA monitoring, and carrier performance analysis. Captured from the web channel, representing customer interactions on the Amazon website."
22,delivery_time_14d_web,logistics,AVG(delivery_days) OVER last 14 days BY region,fct_delivery,Daily,Redis,"logistics_model, demand_model","Bi-weekly delivery time measurement. Useful for logistics optimization, SLA monitoring, and carrier performance analysis. Captured from the web channel, representing customer interactions on the Amazon website."
23,delivery_time_30d_web,logistics,AVG(delivery_days) OVER last 30 days BY region,fct_delivery,Daily,Redis,"logistics_model, demand_model","Monthly delivery time indicator. Useful for logistics optimization, SLA monitoring, and carrier performance analysis. Captured from the web channel, representing customer interactions on the Amazon website."
24,click_rate_7d_web,marketing,COUNT(clicks)/COUNT(impressions) OVER last 7 days BY campaign_id,fct_marketing_events,Hourly,DynamoDB,"marketing_model, recommendation_model","Short-term weekly click rate metric. Useful for campaign optimization, audience targeting, and marketing ROI analysis. Captured from the web channel, representing customer interactions on the Amazon website."
25,click_rate_14d_web,marketing,COUNT(clicks)/COUNT(impressions) OVER last 14 days BY campaign_id,fct_marketing_events,Hourly,DynamoDB,"marketing_model, recommendation_model","Bi-weekly click rate measurement. Useful for campaign optimization, audience targeting, and marketing ROI analysis. Captured from the web channel, representing customer interactions on the Amazon website."
26,click_rate_30d_web,marketing,COUNT(clicks)/COUNT(impressions) OVER last 30 days BY campaign_id,fct_marketing_events,Hourly,DynamoDB,"marketing_model, recommendation_model","Monthly click rate indicator. Useful for campaign optimization, audience targeting, and marketing ROI analysis. Captured from the web channel, representing customer interactions on the Amazon website."
27,payment_success_7d_web,payment,COUNT(success_txn)/COUNT(total_txn) OVER last 7 days BY payment_method,fct_payments,Hourly,Redis,"fraud_model, recommendation_model","Short-term weekly payment success metric. Useful for payment optimization, checkout monitoring, and fraud prevention. Captured from the web channel, representing customer interactions on the Amazon website."
28,payment_success_14d_web,payment,COUNT(success_txn)/COUNT(total_txn) OVER last 14 days BY payment_method,fct_payments,Hourly,Redis,"fraud_model, recommendation_model","Bi-weekly payment success measurement. Useful for payment optimization, checkout monitoring, and fraud prevention. Captured from the web channel, representing customer interactions on the Amazon website."
29,payment_success_30d_web,payment,COUNT(success_txn)/COUNT(total_txn) OVER last 30 days BY payment_method,fct_payments,Hourly,Redis,"fraud_model, recommendation_model","Monthly payment success indicator. Useful for payment optimization, checkout monitoring, and fraud prevention. Captured from the web channel, representing customer interactions on the Amazon website."
30,wishlist_count_7d_web,customer_preference,COUNT(wishlist_id) OVER last 7 days BY customer_id,fct_wishlist,Daily,"DynamoDB, S3","recommendation_model, personalization_model","Short-term weekly wishlist count metric. Useful for purchase intent prediction, personalized recommendations, and remarketing campaigns. Captured from the web channel, representing customer interactions on the Amazon website."
31,wishlist_count_14d_web,customer_preference,COUNT(wishlist_id) OVER last 14 days BY customer_id,fct_wishlist,Daily,"DynamoDB, S3","recommendation_model, personalization_model","Bi-weekly wishlist count measurement. Useful for purchase intent prediction, personalized recommendations, and remarketing campaigns. Captured from the web channel, representing customer interactions on the Amazon website."
32,wishlist_count_30d_web,customer_preference,COUNT(wishlist_id) OVER last 30 days BY customer_id,fct_wishlist,Daily,"DynamoDB, S3","recommendation_model, personalization_model","Monthly wishlist count indicator. Useful for purchase intent prediction, personalized recommendations, and remarketing campaigns. Captured from the web channel, representing customer interactions on the Amazon website."
33,cart_additions_7d_web,shopping_cart,COUNT(cart_id) OVER last 7 days BY customer_id,fct_cart_events,Hourly,Redis,"recommendation_model, churn_model","Short-term weekly cart additions metric. Useful for conversion funnel analysis, abandoned cart recovery, and recommendation models. Captured from the web channel, representing customer interactions on the Amazon website."
34,cart_additions_14d_web,shopping_cart,COUNT(cart_id) OVER last 14 days BY customer_id,fct_cart_events,Hourly,Redis,"recommendation_model, churn_model","Bi-weekly cart additions measurement. Useful for conversion funnel analysis, abandoned cart recovery, and recommendation models. Captured from the web channel, representing customer interactions on the Amazon website."
35,cart_additions_30d_web,shopping_cart,COUNT(cart_id) OVER last 30 days BY customer_id,fct_cart_events,Hourly,Redis,"recommendation_model, churn_model","Monthly cart additions indicator. Useful for conversion funnel analysis, abandoned cart recovery, and recommendation models. Captured from the web channel, representing customer interactions on the Amazon website."
36,purchase_count_7d_mobile,customer_behavior,COUNT(order_id) WHERE order_status='DELIVERED' OVER last 7 days BY customer_id,fct_orders (Silver),Hourly,"DynamoDB, S3","recommendation_model, churn_model","Short-term weekly purchase count metric. Useful for RFM segmentation, customer lifetime value modeling, and personalized promotion campaigns. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
37,purchase_count_14d_mobile,customer_behavior,COUNT(order_id) WHERE order_status='DELIVERED' OVER last 14 days BY customer_id,fct_orders (Silver),Hourly,"DynamoDB, S3","recommendation_model, churn_model","Bi-weekly purchase count measurement. Useful for RFM segmentation, customer lifetime value modeling, and personalized promotion campaigns. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
38,purchase_count_30d_mobile,customer_behavior,COUNT(order_id) WHERE order_status='DELIVERED' OVER last 30 days BY customer_id,fct_orders (Silver),Hourly,"DynamoDB, S3","recommendation_model, churn_model","Monthly purchase count indicator. Useful for RFM segmentation, customer lifetime value modeling, and personalized promotion campaigns. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
39,avg_order_value_7d_mobile,customer_spend,AVG(order_total) WHERE order_status='DELIVERED' OVER last 7 days BY customer_id,fct_orders (Silver),Daily,"DynamoDB, S3","ltv_model, recommendation_model","Short-term weekly avg order value metric. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
40,avg_order_value_14d_mobile,customer_spend,AVG(order_total) WHERE order_status='DELIVERED' OVER last 14 days BY customer_id,fct_orders (Silver),Daily,"DynamoDB, S3","ltv_model, recommendation_model","Bi-weekly avg order value measurement. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
41,avg_order_value_30d_mobile,customer_spend,AVG(order_total) WHERE order_status='DELIVERED' OVER last 30 days BY customer_id,fct_orders (Silver),Daily,"DynamoDB, S3","ltv_model, recommendation_model","Monthly avg order value indicator. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
42,product_views_7d_mobile,product_engagement,COUNT(view_id) OVER last 7 days BY product_id,fct_product_views,Hourly,"DynamoDB, S3","ranking_model, recommendation_model","Short-term weekly product views metric. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
43,product_views_14d_mobile,product_engagement,COUNT(view_id) OVER last 14 days BY product_id,fct_product_views,Hourly,"DynamoDB, S3","ranking_model, recommendation_model","Bi-weekly product views measurement. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
44,product_views_30d_mobile,product_engagement,COUNT(view_id) OVER last 30 days BY product_id,fct_product_views,Hourly,"DynamoDB, S3","ranking_model, recommendation_model","Monthly product views indicator. Useful for predictive modeling, customer analytics, and operational decision-making. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
45,avg_rating_7d_mobile,product_quality,AVG(rating) WHERE verified='Y' OVER last 7 days BY product_id,fct_reviews,Daily,DynamoDB,"ranking_model, recommendation_model","Short-term weekly avg rating metric. Useful for product ranking, quality monitoring, and catalog optimization. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
46,avg_rating_14d_mobile,product_quality,AVG(rating) WHERE verified='Y' OVER last 14 days BY product_id,fct_reviews,Daily,DynamoDB,"ranking_model, recommendation_model","Bi-weekly avg rating measurement. Useful for product ranking, quality monitoring, and catalog optimization. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
47,avg_rating_30d_mobile,product_quality,AVG(rating) WHERE verified='Y' OVER last 30 days BY product_id,fct_reviews,Daily,DynamoDB,"ranking_model, recommendation_model","Monthly avg rating indicator. Useful for product ranking, quality monitoring, and catalog optimization. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
48,search_count_7d_mobile,search_behavior,COUNT(search_id) OVER last 7 days BY customer_id,fct_search_events,Hourly,Redis,"recommendation_model, search_model","Short-term weekly search count metric. Useful for search relevance tuning, intent modeling, and recommendation systems. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
49,search_count_14d_mobile,search_behavior,COUNT(search_id) OVER last 14 days BY customer_id,fct_search_events,Hourly,Redis,"recommendation_model, search_model","Bi-weekly search count measurement. Useful for search relevance tuning, intent modeling, and recommendation systems. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
50,search_count_30d_mobile,search_behavior,COUNT(search_id) OVER last 30 days BY customer_id,fct_search_events,Hourly,Redis,"recommendation_model, search_model","Monthly search count indicator. Useful for search relevance tuning, intent modeling, and recommendation systems. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
51,return_rate_7d_mobile,returns,COUNT(return_id)/COUNT(order_id) OVER last 7 days BY product_id,fct_returns,Daily,S3,"fraud_model, ranking_model","Short-term weekly return rate metric. Useful for product quality monitoring, fraud detection, and return risk analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
52,return_rate_14d_mobile,returns,COUNT(return_id)/COUNT(order_id) OVER last 14 days BY product_id,fct_returns,Daily,S3,"fraud_model, ranking_model","Bi-weekly return rate measurement. Useful for product quality monitoring, fraud detection, and return risk analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
53,return_rate_30d_mobile,returns,COUNT(return_id)/COUNT(order_id) OVER last 30 days BY product_id,fct_returns,Daily,S3,"fraud_model, ranking_model","Monthly return rate indicator. Useful for product quality monitoring, fraud detection, and return risk analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
54,inventory_stock_7d_mobile,inventory,SUM(stock_qty) OVER last 7 days BY product_id,fct_inventory,Hourly,Redis,"inventory_model, recommendation_model","Short-term weekly inventory stock metric. Useful for inventory replenishment, stock allocation, and demand planning. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
55,inventory_stock_14d_mobile,inventory,SUM(stock_qty) OVER last 14 days BY product_id,fct_inventory,Hourly,Redis,"inventory_model, recommendation_model","Bi-weekly inventory stock measurement. Useful for inventory replenishment, stock allocation, and demand planning. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
56,inventory_stock_30d_mobile,inventory,SUM(stock_qty) OVER last 30 days BY product_id,fct_inventory,Hourly,Redis,"inventory_model, recommendation_model","Monthly inventory stock indicator. Useful for inventory replenishment, stock allocation, and demand planning. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
57,delivery_time_7d_mobile,logistics,AVG(delivery_days) OVER last 7 days BY region,fct_delivery,Daily,Redis,"logistics_model, demand_model","Short-term weekly delivery time metric. Useful for logistics optimization, SLA monitoring, and carrier performance analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
58,delivery_time_14d_mobile,logistics,AVG(delivery_days) OVER last 14 days BY region,fct_delivery,Daily,Redis,"logistics_model, demand_model","Bi-weekly delivery time measurement. Useful for logistics optimization, SLA monitoring, and carrier performance analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
59,delivery_time_30d_mobile,logistics,AVG(delivery_days) OVER last 30 days BY region,fct_delivery,Daily,Redis,"logistics_model, demand_model","Monthly delivery time indicator. Useful for logistics optimization, SLA monitoring, and carrier performance analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
60,click_rate_7d_mobile,marketing,COUNT(clicks)/COUNT(impressions) OVER last 7 days BY campaign_id,fct_marketing_events,Hourly,DynamoDB,"marketing_model, recommendation_model","Short-term weekly click rate metric. Useful for campaign optimization, audience targeting, and marketing ROI analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
61,click_rate_14d_mobile,marketing,COUNT(clicks)/COUNT(impressions) OVER last 14 days BY campaign_id,fct_marketing_events,Hourly,DynamoDB,"marketing_model, recommendation_model","Bi-weekly click rate measurement. Useful for campaign optimization, audience targeting, and marketing ROI analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
62,click_rate_30d_mobile,marketing,COUNT(clicks)/COUNT(impressions) OVER last 30 days BY campaign_id,fct_marketing_events,Hourly,DynamoDB,"marketing_model, recommendation_model","Monthly click rate indicator. Useful for campaign optimization, audience targeting, and marketing ROI analysis. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
63,payment_success_7d_mobile,payment,COUNT(success_txn)/COUNT(total_txn) OVER last 7 days BY payment_method,fct_payments,Hourly,Redis,"fraud_model, recommendation_model","Short-term weekly payment success metric. Useful for payment optimization, checkout monitoring, and fraud prevention. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
64,payment_success_14d_mobile,payment,COUNT(success_txn)/COUNT(total_txn) OVER last 14 days BY payment_method,fct_payments,Hourly,Redis,"fraud_model, recommendation_model","Bi-weekly payment success measurement. Useful for payment optimization, checkout monitoring, and fraud prevention. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
65,payment_success_30d_mobile,payment,COUNT(success_txn)/COUNT(total_txn) OVER last 30 days BY payment_method,fct_payments,Hourly,Redis,"fraud_model, recommendation_model","Monthly payment success indicator. Useful for payment optimization, checkout monitoring, and fraud prevention. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
66,wishlist_count_7d_mobile,customer_preference,COUNT(wishlist_id) OVER last 7 days BY customer_id,fct_wishlist,Daily,"DynamoDB, S3","recommendation_model, personalization_model","Short-term weekly wishlist count metric. Useful for purchase intent prediction, personalized recommendations, and remarketing campaigns. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
67,wishlist_count_14d_mobile,customer_preference,COUNT(wishlist_id) OVER last 14 days BY customer_id,fct_wishlist,Daily,"DynamoDB, S3","recommendation_model, personalization_model","Bi-weekly wishlist count measurement. Useful for purchase intent prediction, personalized recommendations, and remarketing campaigns. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
68,wishlist_count_30d_mobile,customer_preference,COUNT(wishlist_id) OVER last 30 days BY customer_id,fct_wishlist,Daily,"DynamoDB, S3","recommendation_model, personalization_model","Monthly wishlist count indicator. Useful for purchase intent prediction, personalized recommendations, and remarketing campaigns. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
69,cart_additions_7d_mobile,shopping_cart,COUNT(cart_id) OVER last 7 days BY customer_id,fct_cart_events,Hourly,Redis,"recommendation_model, churn_model","Short-term weekly cart additions metric. Useful for conversion funnel analysis, abandoned cart recovery, and recommendation models. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
70,cart_additions_14d_mobile,shopping_cart,COUNT(cart_id) OVER last 14 days BY customer_id,fct_cart_events,Hourly,Redis,"recommendation_model, churn_model","Bi-weekly cart additions measurement. Useful for conversion funnel analysis, abandoned cart recovery, and recommendation models. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
71,cart_additions_30d_mobile,shopping_cart,COUNT(cart_id) OVER last 30 days BY customer_id,fct_cart_events,Hourly,Redis,"recommendation_model, churn_model","Monthly cart additions indicator. Useful for conversion funnel analysis, abandoned cart recovery, and recommendation models. Captured from the mobile app channel, representing customer interactions on the Amazon Shopping mobile application."
